tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
saraheneedleman,0,0,Sun May 23 16:13:00 +0000 2021,Twitter for iPhone,Original tweet,https://t.co/GBzSLgO31n
rwang0,0,0,Sun May 23 16:02:41 +0000 2021,Twitter Web App,Original tweet,https://t.co/iChdLzrxXo
Arshisallah1,0,197,Sun May 23 14:45:55 +0000 2021,Twitter for Android,This is a retweet,This is a retweet
NCStories,0,0,Sun May 23 14:45:00 +0000 2021,Twitter Web App,Original tweet,https://t.co/cGaU2TC0dv
KYablochkin,0,20,Sun May 23 14:32:09 +0000 2021,Twitter for Android,This is a retweet,This is a retweet
JMoRichmondVA,0,1,Sun May 23 14:22:38 +0000 2021,Twitter for iPad,This is a retweet,This is a retweet
ruth59185822,0,0,Sun May 23 14:03:11 +0000 2021,AdvisorStream v2,Original tweet,https://t.co/rJhTEnK7ir
WSJPolitics,2,0,Sun May 23 13:43:29 +0000 2021,SocialFlow,Original tweet,https://t.co/02BoHkOt3R
gamefromscratch,0,0,Sun May 23 13:37:29 +0000 2021,Twitter for Android,Original tweet,https://t.co/PaZWD5CK3a
KateMilani,0,0,Sun May 23 13:32:58 +0000 2021,Twitter Web App,Original tweet,https://t.co/Ch9W37DyG0
waninyo123,0,1,Sun May 23 13:23:34 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
AcerboLivio,2,1,Sun May 23 13:09:05 +0000 2021,WordPress.com,Original tweet,https://t.co/1mHZ4KFRtQ
Real_Infinity95,0,20,Sun May 23 13:05:03 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
nodoubtman,0,0,Sun May 23 13:00:36 +0000 2021,ThingTweet,Original tweet,l
Jazzy_Jama,0,3,Sun May 23 12:53:32 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
joepeyronnin,0,0,Sun May 23 12:52:54 +0000 2021,Twitter for iPhone,Original tweet,https://t.co/okdiHEoC8U
DaviDiggz,0,20,Sun May 23 11:58:07 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
RenaissanceTino,0,20,Sun May 23 11:50:30 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
LNPDigital,0,20,Sun May 23 11:44:07 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
sbotts1,0,1,Sun May 23 11:39:14 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
Oreo52,0,20,Sun May 23 11:39:00 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
Soul_in_Seoul,0,20,Sun May 23 11:35:06 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
drichx2,0,20,Sun May 23 11:34:28 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
Mastersson,0,20,Sun May 23 11:33:10 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
wsj_once,0,20,Sun May 23 11:32:23 +0000 2021,node-once-tweet,This is a retweet,This is a retweet
apequenarinaldi,0,20,Sun May 23 11:31:54 +0000 2021,Twitter for Android,This is a retweet,This is a retweet
VBaus,0,20,Sun May 23 11:31:19 +0000 2021,Twitter for Android,This is a retweet,This is a retweet
FrankTs14829780,0,20,Sun May 23 11:31:04 +0000 2021,Twitter for iPhone,This is a retweet,This is a retweet
karasu_nuay,0,20,Sun May 23 11:31:01 +0000 2021,Twitter Web App,This is a retweet,This is a retweet
glitchbotio,0,20,Sun May 23 11:30:10 +0000 2021,Motivational App,This is a retweet,This is a retweet
WSJ,54,20,Sun May 23 11:30:05 +0000 2021,SocialFlow,Original tweet,https://t.co/Saq0WAikpO
News18Tech,1,0,Sun May 23 11:30:00 +0000 2021,TweetDeck,Original tweet,https://t.co/CgAYwhRL2i
SniffOutStocks,0,0,Sun May 23 11:22:03 +0000 2021,dlvr.it,Original tweet,https://t.co/t9SOtfntA9 https://t.co/ozXj0fFiRS
MrDewdney,0,0,Sun May 23 11:03:23 +0000 2021,AdvisorStream v2,Original tweet,https://t.co/fjev2KO9KU
